,index,object,part,id,url,image,name,tags,thumbnail,objective,IC,AccessMeta,note
,,can,general,4081042,https://www.thingiverse.com/thing:4081042,https://cdn.thingiverse.com/assets/ca/a0/30/b2/12/card_preview_IMG_2909.JPG,Pull-Tab CAN Opener,"AssistiveTech, assistive device, assistive technology, beer opener, bottle opener, opener, Pulltabs",,motor,can,actuation-operation,
,,can,general,1097099,https://www.thingiverse.com/thing:1097099,https://cdn.thingiverse.com/renders/76/97/86/20/4a/Thingiverse_Cover_preview_card.jpg,UBO - The Universal Bottle Opener (v1),"AssistiveTech, bottle, bottleopener, bottle opener, cap, household, kitchen, opener, steam, TVY, universal",,motor,,,
,,can,general,1074847,https://www.thingiverse.com/thing:1074847,https://cdn.thingiverse.com/renders/0c/c9/f8/9a/2b/IMG_20151015_205258298_preview_card.jpg,Pluck,"assistive, AssistiveTech, ring",,motor,can,actuation-operation,
,,can,general,3043598,https://www.thingiverse.com/thing:3043598,https://cdn.thingiverse.com/renders/28/c0/07/6d/2b/d294849094b7b97edbfba502f595698f_preview_card.JPG,Pop-top Can and Bottle Opener,"AssistiveTech, assistive device, assistive technology",,motor,,,
,,can,general,4056925,https://www.thingiverse.com/thing:4056925,https://cdn.thingiverse.com/assets/83/36/0e/58/66/card_preview_A.JPG,Suitable can opener 01 / Ouvre boite adapté 01,"access, accessibility, aid, aide technique, ALTYGO, ALTYLAB, assistive, AssistiveTech, disability, disabled, ergonomic, ergonomique, ergotherapie, handicap, Helper, hmiplgique, rehabilitation, RehabLab, repas",,motor,can,actuation-operation,
,,can,general,4835690,https://www.thingiverse.com/thing:4835690,https://cdn.thingiverse.com/assets/9c/d9/5e/8f/79/card_preview_dde2cac0-d25d-4cca-b6e7-8fe2aeb839b3.JPEG,Easy Can Opener Extension - Assistive Device,"aid, assistive, assistive device, can, can opener, hand, hand tools, kitchen, kitchen tool, kitchen tools, opener, tool, tools",,motor,can,actuation-operation,
,,can,general,2960194,https://www.thingiverse.com/thing:2960194,https://cdn.thingiverse.com/renders/7a/e6/11/6e/c0/abf89f6b7ca72cc7fd4e6162c6110094_preview_card.jpg,Pull top opener,"assistive, assistive device, FablabShinagawa, fabOT, ictrehab",,motor,can,actuation-operation,
,,can,general,1104936,https://www.thingiverse.com/thing:1104936,https://cdn.thingiverse.com/renders/b1/c7/a9/6e/81/IMG_2863_preview_card.JPG,Pop Can Opener | Designed for People with Prosthetics or Severe Arthritis,"arthritis, AssistiveTech, can opener, pop, prosthetics, Prosthetics Tools, soda, tools",,motor,can,actuation-operation,
,,can,type:canned_food,4080120,https://www.thingiverse.com/thing:4080120,https://cdn.thingiverse.com/assets/24/fa/b0/01/e3/card_preview_P%C3%A2t%C3%A9.JPG,Suitable travel can opener / Ouvre boite adapté de voyage,"access, accessibility, aide technique, ALTYGO, ALTYLAB, assistive, AssistiveTech, can pull, device, disability, disabled, ergonomic, ergonomique, ergotherapie, ergothrapie, handicap, handicape, hemiplegia, hemiplegique, occupational therapy, RehabLab, repas",,motor,can,actuation-operation,
more designs: https://www.thingiverse.com/thing:28067,4,cup,handle:none,310961,https://www.thingiverse.com/thing:310961,https://cdn.thingiverse.com/renders/ee/19/0b/85/2f/d__1_sur_1__preview_card.jpg,Second Life Mug,"cup, drink, fabshop, glass, handle, Jam, jar, kitchen, mug, pot, samuel bernier, upcycling, upcylcing",,motor,cup_no_handle,actuation-operation,
,,cup,handle:none,2849803,https://www.thingiverse.com/thing:2849803,https://cdn.thingiverse.com/renders/7f/9e/8e/34/1e/766fcfe23d6262d856a9946271eda6bc_preview_card.jpg,[K] Support de verre (Glass holder),"access, accessibility, aid, AssistiveTech, assistive device, assistive technology, cup, cup holder, disability, disabled, drink, ergotherapie, glass, glasses, glass holder, handicap, helpful, holder, medical, medical devices, occupational therapy, support",,motor,cup_no_handle,actuation-operation,
,,cup,handle:none,4268140,https://www.thingiverse.com/thing:4268140,https://cdn.thingiverse.com/assets/16/ff/9a/ab/f0/card_preview__MG_2241.jpg,cupHolder_remix,assistive,,motor,cup_no_handle,actuation-operation,
,,cup,handle:none,1055594,https://www.thingiverse.com/thing:1055594,https://cdn.thingiverse.com/renders/7e/ca/67/15/f8/IMG_1022_preview_card.JPG,Hand Assist Cup Holder - Tapered Variant,"AssistiveTech, cup holder, hand assist, Mug holder, osteoporosis",,motor,cup_no_handle,actuation-operation,
,,cup,general,1102780,https://www.thingiverse.com/thing:1102780,https://cdn.thingiverse.com/renders/6a/69/43/a2/eb/suporte_copo_preview_card.jpg,Cupholder for people without wrist rotation,AssistiveTech,,motor,cup_no_handle,actuation-operation,
,,cup,general,3087098,https://www.thingiverse.com/thing:3087098,https://cdn.thingiverse.com/renders/07/cc/21/4a/f0/317673b77a540feaf6d203bd26a37efd_preview_card.JPG,Customizable Straw Holder,"assistive, AssistiveTech, assistive device, assistive technology",,motor,,,
,,cup,general,3022034,https://www.thingiverse.com/thing:3022034,https://cdn.thingiverse.com/renders/2a/cf/69/20/3e/f2a852df86282495e84000d3736ef4c9_preview_card.jpg,Support de tasse / Cup holder,"aid, AssistiveTech, assistive device, assistive technology, cup, cup holder, disability, disabled, handicap, Helper, helpful, holder, medical, medical devices, mug, support",,motor,cup_no_handle,actuation-operation,
,5,bowl,general,2968238,https://www.thingiverse.com/thing:2968238,https://cdn.thingiverse.com/renders/c1/4d/82/91/a1/66fa4d9467a29ee1fad23278ca1796a4_preview_card.jpg,[Y] support de bol (bowl holder),"aide technique, AssistiveTech, bowl, bowl holder, disability, ergotherapie, handicap, helpful, holder, medical, occupationnal therapy",,motor,bowl,actuation-operation,
,6,chopsticks,general,1024981,https://www.thingiverse.com/thing:1024981,https://cdn.thingiverse.com/renders/f2/d1/5e/c5/ae/chaet_sticks_preview_card.jpg,Cheat Sticks' - The easy way to keep your Chop Sticks under control!,"Asian, Chinese, chopstick, chopsticks, Chop stick, chop sticks, clever, cooking, dining, easy, easy to use, eat, eating, entertain, entertaining, fast food, food, handy, Helper, hospitality, household, inner, Japanese, kitchen, party, simple, smartphone, solution, solutions, sushi, take-out, takeaway, takeout, unique, utensil",,motor,chopsticks,actuation-operation,
,7,light switch,switch:lever,4924800,https://www.thingiverse.com/thing:4924800,https://cdn.thingiverse.com/assets/b0/b0/28/74/d4/card_preview_Switchplate-Icon-Thingiverse-04.jpg,Switchplate Identifiers,"identifier, label, light, switch, switchplate, tag",,cue,20 switch__toggle_multi,"indication-visual, indication-tactile",
,,light switch,switch:lever,134995,https://www.thingiverse.com/thing:134995,https://cdn.thingiverse.com/renders/18/1e/f1/1f/f6/IMG_20130816_190229_preview_card.jpg,Light switch guard,"guard, light switch, switch",,constraint,"20 switch__toggle_multi, 21 switch__toggle_single",constraint,
,,light switch,switch:lever,3783279,https://www.thingiverse.com/thing:3783279,https://cdn.thingiverse.com/renders/3a/db/27/ef/05/5e674b5a2103b72c928d9f2191c65f8b_preview_card.JPG,Steampunk Light Switch,"gear switch, light switch, lightswitch, steampunk, steampunk gear, steampunk switch, switch",,constraint,21 switch__toggle_single,actuation-operation,
,,light switch,switch:lever,1904518,https://www.thingiverse.com/thing:1904518,https://cdn.thingiverse.com/renders/b9/2e/79/9e/5c/6dd01b94439fb480291d44d8b68a7ed9_preview_card.jpg,Minecraft Lever Light switch Cover,"lever, lightswitch, lightswitch cover, Minecraft",,motor,21 switch__toggle_single,actuation-operation,
,,light switch,switch:lever,649284,https://www.thingiverse.com/thing:649284,https://cdn.thingiverse.com/renders/66/a7/36/f5/56/switchplate2_preview_card.jpg,Frankenstein Light Switch Plate,"Frankenstein, halloween, light switch, mad scientist, wall plate",,motor,21 switch__toggle_single,actuation-operation,
,,light switch,switch:lever,5143727,https://www.thingiverse.com/thing:5143727,https://cdn.thingiverse.com/assets/3b/46/ba/52/41/card_preview_gears_switch_2.jpg,The Gear Switch,"engineer, engineering, fun, Gear, gears, light switch, Light Switch Cover, mechanical, mechanical toy, Mechanical Toys, moving, moving parts",,motor,"20 switch__toggle_multi, 21 switch__toggle_single",actuation-operation,
,,light switch,switch:lever,658859,https://www.thingiverse.com/thing:658859,https://cdn.thingiverse.com/renders/c9/59/97/86/77/photo_preview_card.jpg,Light Switch Extender for Young Kids - Mario Star,,,motor,"20 switch__toggle_multi, 21 switch__toggle_single",actuation-reach,
,,light switch,switch:lever,653451,https://www.thingiverse.com/thing:653451,https://cdn.thingiverse.com/renders/f7/57/47/3e/5b/IMAG0036_preview_card.jpg,Killing the lights,"extra nerf things, lightswitch, nerf, Target",,motor,"20 switch__toggle_multi, 21 switch__toggle_single",actuation-operation,
,,light switch,switch:lever,1805790,https://www.thingiverse.com/thing:1805790,https://cdn.thingiverse.com/renders/a9/ee/7f/68/f9/071b74d7afe4659015a47392445bafb5_preview_card.jpg,Child's Light Switch Helper,"Child Light, gadgets, Helper, light, switch, switchplate",,motor,21 switch__toggle_single,actuation-reach,
